tourney_id,tourney_country,tourney_city,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_country,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_rank,winner_rank_points,loser_id,loser_country,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000336,Hong Kong,Hong Kong,Hong Kong,Hard,32,A,2000-10-02,3,102035,Sweden,0.0,Main Draw,Jonas Bjorkman,R,183.0,56.0,731.0,102537,Hong Kong,0.0,WC,Melvin Tong,R,185.0,1245.0,2.0,6-0 6-2,3,R32,46.0,3.0,0.0,36.0,22.0,18.0,12.0,7.0,2.0,2.0,0.0,4.0,40.0,22.0,11.0,5.0,7.0,4.0,9.0
2007404,United States,Indian Wells,Indian Wells Masters,Hard,96,M,2007-03-05,42,103401,Czech Republic,0.0,Main Draw,Jan Hernych,R,190.0,73.0,508.0,102860,Argentina,28.0,Main Draw,Agustin Calleri,R,183.0,29.0,1038.0,6-3 6-3,3,R64,68.0,4.0,1.0,55.0,38.0,28.0,12.0,9.0,8.0,8.0,4.0,4.0,64.0,34.0,25.0,11.0,9.0,0.0,3.0
2005438,Russia,Moscow,Moscow,Carpet,32,A,2005-10-10,26,104098,Russia,0.0,WC,Dmitry Tursunov,R,185.0,125.0,347.0,104022,Russia,3.0,Main Draw,Mikhail Youzhny,R,183.0,24.0,1140.0,6-2 4-6 6-2,3,QF,100.0,5.0,1.0,73.0,53.0,44.0,11.0,13.0,5.0,6.0,4.0,1.0,70.0,44.0,29.0,15.0,13.0,4.0,8.0
2002540,United Kingdom,London,Wimbledon,Grass,128,G,2002-06-24,52,103900,Argentina,28.0,Main Draw,David Nalbandian,R,180.0,32.0,1084.0,103176,Spain,0.0,Main Draw,David Sanchez,R,183.0,62.0,643.0,6-4 6-3 4-6 7-5,5,R128,140.0,6.0,9.0,120.0,69.0,50.0,28.0,20.0,5.0,8.0,5.0,3.0,139.0,85.0,60.0,23.0,21.0,8.0,14.0
2011500,Germany,Halle,Halle,Grass,32,A,2011-06-06,17,103720,Australia,0.0,Main Draw,Lleyton Hewitt,R,180.0,73.0,645.0,104312,Italy,0.0,Main Draw,Andreas Seppi,R,190.0,51.0,935.0,6-4 6-4,3,R16,81.0,3.0,2.0,56.0,32.0,27.0,12.0,10.0,1.0,2.0,9.0,0.0,60.0,36.0,27.0,9.0,10.0,1.0,4.0
2009496,France,Marseille,Marseille,Hard,32,A,2009-02-16,27,103566,France,0.0,Main Draw,Michael Llodra,L,190.0,50.0,1365.0,104022,Russia,0.0,Main Draw,Mikhail Youzhny,R,183.0,62.0,1170.0,7-6(4) 7-6(3),3,QF,116.0,12.0,5.0,87.0,47.0,40.0,20.0,12.0,8.0,9.0,4.0,1.0,77.0,43.0,38.0,14.0,12.0,0.0,1.0
2003560,United States,New York,US Open,Hard,128,G,2003-08-25,42,102770,Netherlands,0.0,Main Draw,John Van Lottum,R,185.0,83.0,456.0,103294,Belgium,0.0,Main Draw,Christophe Rochus,R,170.0,89.0,421.0,6-0 6-2 6-2,5,R128,75.0,6.0,4.0,66.0,34.0,28.0,19.0,11.0,2.0,2.0,0.0,8.0,74.0,38.0,22.0,12.0,11.0,4.0,11.0
2008495,United Arab Emirates,Dubai,Dubai,Hard,32,A,2008-03-03,5,103970,Spain,4.0,Main Draw,David Ferrer,R,175.0,4.0,2695.0,103163,Germany,0.0,Main Draw,Tommy Haas,R,188.0,35.0,925.0,6-3 6-0,3,R32,81.0,0.0,2.0,53.0,33.0,21.0,11.0,7.0,1.0,2.0,4.0,6.0,67.0,35.0,19.0,10.0,8.0,4.0,10.0
2007328,Switzerland,Basel,Basel,Hard,32,A,2007-10-22,12,102860,Argentina,0.0,Main Draw,Agustin Calleri,R,183.0,51.0,675.0,103970,Spain,3.0,Main Draw,David Ferrer,R,175.0,6.0,2130.0,6-4 7-6(3),3,R32,100.0,10.0,2.0,60.0,34.0,28.0,12.0,11.0,1.0,4.0,7.0,2.0,89.0,53.0,34.0,16.0,11.0,7.0,11.0
2010741,United Kingdom,Eastbourne,Eastbourne,Grass,32,A,2010-06-13,25,104797,Uzbekistan,0.0,Main Draw,Denis Istomin,R,188.0,74.0,670.0,105011,Ukraine,0.0,Main Draw,Illya Marchenko,R,185.0,81.0,627.0,6-1 6-4,3,QF,81.0,2.0,0.0,61.0,44.0,30.0,12.0,9.0,2.0,2.0,2.0,2.0,50.0,27.0,20.0,7.0,8.0,3.0,6.0
